Fichier, Temps Naif (µs), Temps Welzl (µs)
test-10.points, 160076, 792
test-100.points, 157884, 242
test-1000.points, 130960, 131
test-1001.points, 142254, 98
test-1002.points, 117969, 43
test-1003.points, 98992, 16
test-1004.points, 101752, 29
test-1005.points, 140922, 43
test-1006.points, 116415, 17
test-1007.points, 126528, 35
test-1008.points, 119047, 28
test-1009.points, 92397, 23
test-101.points, 93388, 33
test-1010.points, 96984, 39
test-1011.points, 146297, 50
test-1012.points, 124130, 82
test-1013.points, 115840, 27
test-1014.points, 88553, 24
test-1015.points, 111298, 18
test-1016.points, 127273, 95
test-1017.points, 88945, 36
test-1018.points, 106716, 32
test-1019.points, 113047, 43
test-102.points, 141945, 23
test-1020.points, 97904, 54
test-1021.points, 104659, 73
test-1022.points, 95721, 33
test-1023.points, 136882, 55
test-1024.points, 126742, 42
test-1025.points, 115100, 35
test-1026.points, 83916, 50
test-1027.points, 110784, 55
test-1028.points, 126156, 36
test-1029.points, 116599, 35
test-103.points, 122917, 17
test-1030.points, 129341, 36
test-1031.points, 102458, 16
test-1032.points, 155048, 29
test-1033.points, 106016, 31
test-1034.points, 124086, 29
test-1035.points, 123435, 44
test-1036.points, 109611, 44
test-1037.points, 93688, 21
test-1038.points, 96812, 33
test-1039.points, 111322, 42
test-104.points, 125401, 31
test-1040.points, 83994, 21
test-1041.points, 109245, 32
test-1042.points, 82043, 14
test-1043.points, 115958, 33
test-1044.points, 113944, 17
test-1045.points, 87659, 24
test-1046.points, 99412, 31
test-1047.points, 97128, 54
test-1048.points, 96902, 18
test-1049.points, 103667, 27
test-105.points, 122983, 48
test-1050.points, 120430, 32
test-1051.points, 120790, 50
test-1052.points, 111230, 19
test-1053.points, 113082, 94
test-1054.points, 108430, 29
test-1055.points, 112790, 34
test-1056.points, 97085, 22
test-1057.points, 130224, 38
test-1058.points, 109741, 29
test-1059.points, 90628, 17
test-106.points, 122725, 30
test-1060.points, 105032, 23
test-1061.points, 102680, 59
test-1062.points, 114775, 42
test-1063.points, 88744, 23
test-1064.points, 155002, 67
test-1065.points, 93582, 16
test-1066.points, 89375, 27
test-1067.points, 152227, 72
test-1068.points, 105199, 22
test-1069.points, 95398, 23
